                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.44712,                0.31091,                0.76804,                 0.8184,                0.98896,                      1,                  0.995,                 0.8955,                0.98896,                      1,                  0.995,                0.95504,                0.57148,                 0.5762,                 1.0868,                0.93388,              0.0011388,              0.0011388,              0.0011388
                     78,                0.74197,                0.30946,                0.88435,                 1.0103,                0.98043,                      1,                  0.995,                0.95504,                0.98043,                      1,                  0.995,                0.95504,                0.52531,                0.69692,                 1.6101,                0.91428,              0.0011487,              0.0011487,              0.0011487
                     79,                 0.3802,                0.63308,                0.91636,                0.97592,                0.98043,                      1,                  0.995,                0.95504,                0.98043,                      1,                  0.995,                0.95504,                0.52531,                0.69692,                 1.6101,                0.91428,              0.0011585,              0.0011585,              0.0011585
                     80,                0.49335,                0.47203,                 0.7442,                  0.885,                0.98043,                      1,                  0.995,                0.95504,                0.98043,                      1,                  0.995,                0.95504,                0.52531,                0.69692,                 1.6101,                0.91428,              0.0011681,              0.0011681,              0.0011681
                     81,                0.59616,                0.53542,                   0.86,                0.97483,                 0.4921,                      1,                0.78944,                0.66776,                 0.4921,                      1,                0.78944,                0.64801,                0.96263,                 1.5224,                 2.2716,                  1.079,              0.0011776,              0.0011776,              0.0011776
                     82,                0.55827,                0.67586,                0.95014,                 0.8738,                 0.4921,                      1,                0.78944,                0.66776,                 0.4921,                      1,                0.78944,                0.64801,                0.96263,                 1.5224,                 2.2716,                  1.079,               0.001187,               0.001187,               0.001187
                     83,                0.46764,                0.34633,                0.73032,                0.82281,                 0.4921,                      1,                0.78944,                0.66776,                 0.4921,                      1,                0.78944,                0.64801,                0.96263,                 1.5224,                 2.2716,                  1.079,              0.0011962,              0.0011962,              0.0011962
                     84,                0.50674,                 0.3721,                0.85613,                0.87923,                0.50333,                      1,                0.76643,                0.52331,                0.50333,                      1,                0.76643,                 0.5365,                0.84305,                 2.6688,                 2.3223,                0.99821,              0.0012053,              0.0012053,              0.0012053
                     85,                0.50676,                0.34407,                0.90504,                0.91885,                0.50333,                      1,                0.76643,                0.52331,                0.50333,                      1,                0.76643,                 0.5365,                0.84305,                 2.6688,                 2.3223,                0.99821,              0.0012143,              0.0012143,              0.0012143
                     86,                0.53623,                0.38834,                0.79076,                0.94114,                0.50333,                      1,                0.76643,                0.52331,                0.50333,                      1,                0.76643,                 0.5365,                0.84305,                 2.6688,                 2.3223,                0.99821,              0.0012232,              0.0012232,              0.0012232
                     87,                0.66538,                0.61465,                 1.0584,                0.91559,                0.50333,                      1,                0.76643,                0.52331,                0.50333,                      1,                0.76643,                 0.5365,                0.84305,                 2.6688,                 2.3223,                0.99821,              0.0012319,              0.0012319,              0.0012319
